[表題行],部門,勘定科目,補助科目,日付,伝票No.,作業日付,仕訳番号,決算,調整,付箋１,付箋２,タイプ,生成元,部門,税区分,税計算区分,相手勘定科目,相手補助科目,相手部門,相手税区分,相手税計算区分,借方金額,借方税額,貸方金額,貸方税額,金額,残高,摘要,請求書区分,仕入税額控除,期日,番号,仕訳メモ
[前期繰越行],,きらぼし/経理(0685540),,2024/12/1,,,,,,,,,,,,,,,,,,,,,,,29084792,,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/3,71,令和6年12月2日,863676,,NO,,,[振伝],,,,,売掛金,PayPal,,,,300000,,,,300000,29384792,資金移動(PayPal⇒きらぼし経理),,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/4,72,令和6年12月2日,863677,,NO,,,[振伝],,,,,売掛金,PayPal,,,,300000,,,,300000,29684792,資金移動(PayPal⇒きらぼし経理),,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/10,47,令和6年11月26日,860674,,NO,,,[振伝],,,,,諸口,,,,,,,20000,,-20000,29664792,ｴﾙｽﾞｻﾎﾟｰﾄ㈱ 撮影室保証委託料(24/12/27-25/12/26),,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/10,47,令和6年11月26日,860677,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,275,,-275,29664517,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/10,66,令和7年1月10日,908513,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,3080,,-3080,29661437,給与振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/10,122,令和6年12月10日,870437,,NO,,,[振伝],,,,,未払金,11月販管費,,,,,,5500,,-5500,29655937,きらぼしﾋﾞｼﾞﾈｽﾈｯﾄ　利用料　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/10,122,令和6年12月10日,870438,,NO,,,[振伝],,,,,未払金,11月販管費,,,,,,2200,,-2200,29653737,きらぼし外為ﾈｯﾄ　利用料　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/10,124,令和6年12月10日,870443,,NO,,,[振伝],,,,,きらぼし/ｻﾎﾟｰﾄ(0685551),,,,,600000,,,,600000,30253737,資金移動(きらぼしｻﾎﾟｰﾄ→きらぼし経理),,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/13,5,令和6年11月29日,863290,,NO,,,[振伝],,,,,諸口,,,,,316334,,,,316334,30570071,"㈱TED　立替金,販売報酬　10月",,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/16,1,令和6年11月12日,851659,,NO,,,[振伝],,,,,売掛金,㈱ｲﾝﾀｰｽﾍﾟｰｽ(ｱｸｾｽﾄﾚｰﾄﾞ),,,,33000,,,,33000,30603071,㈱ｲﾝﾀｰｽﾍﾟｰｽ(ｱｸｾｽﾄﾚｰﾄﾞ)　紹介報酬　10月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/20,129,令和6年12月11日,871360,,NO,,,[振伝],,,,,きらぼし/給与(0689559),,,,,,,6000000,,-6000000,24603071,資金移動(きらぼし経理→きらぼし給与),,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/24,135,令和6年12月17日,880131,,NO,,,[振伝],,,,,みずほ/神田駅前決2386791,,,,,35000000,,,,35000000,59603071,資金移動(みずほ→きらぼし経理)1,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/24,136,令和6年12月17日,880133,,NO,,,[振伝],,,,,みずほ/神田駅前決2386791,,,,,35000000,,,,35000000,94603071,資金移動(みずほ→きらぼし経理)2,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,4,令和6年12月23日,889312,,NO,,,[振伝],,,,,諸口,,,,,703808,,,,703808,95306879,㈱ｼﾞｪｲ･ｱｲ･ｴｽ　ﾏｰｹﾃｨﾝｸﾞ代行費・立替金　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,6,令和6年12月9日,870042,,NO,,,[振伝],,,,,未払金,10月業務提携費,,,,,,24302,,-24302,95282577,㈱ｽｶｲ　業務提携費　10月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,6,令和6年12月9日,870043,,NO,,,[振伝],,,,,未払金,10月業務提携費,,,,,,275,,-275,95282302,振込手数料(先方負担),,,,,
